mass_kg,payload_kg,wing_area_m2,l_over_d,cd0,cruise_speed_ms,air_density_kg_m3,sfc_kg_per_n_s,thrust_to_weight,propulsion_efficiency,fuel_capacity_l,propeller_diameter_m,battery_wh,battery_soc,aux_power_w,min_altitude_m,max_altitude_m,recommended_altitude_m,service_ceiling_m,absolute_ceiling_m,rate_of_climb_ms,range_km,endurance_hr,power_required_w,lift_n,drag_n,l_over_d,safety_status
337.3527211922474,3.3749785333759617,0.805134852400734,14.695903732233115,0.05607576206929543,63.31513319770042,1.2214757985011293,8.438436393705409e-06,0.024600637524654467,0.4421146836223422,2526.776440516812,0.23002625145093178,278.20354631906054,0.6498844377795232,1089.8829612064333,30.0,30.0,30.0,30.0,30.0,-2.039053307170774,13009.738150194959,57.076657195805836,11889.889250996292,2759.7299254501295,187.78905848417497,14.695903732233115,2
26.625812826582578,6.275871121603251,0.30874802926973244,14.87000755341379,0.057662315229128784,29.095532024115496,1.2214757985011293,1.9144261444135626e-05,0.1749313271051871,0.36028479819709613,483.5818841673201,4.252722395102553,6674.6966345471465,0.8071282732743802,1459.4635733876357,30.0,30.0,30.0,30.0,30.0,3.406256636999142,3180.8109917874312,30.367501377789367,437.2751729523205,223.48053712618082,15.028945770432724,14.87000755341379,2
180.49402305770295,70.2566316566027,3.447396625762953,4.230030654639079,0.05177046167495421,61.425827819268186,1.2214757985011293,1.409143672429847e-05,0.03245394799127448,0.44813387917350544,1446.9398180105359,0.4909806869257748,55.42333045125198,0.10100142940972912,555.9472062201843,30.0,30.0,30.0,30.0,30.0,-12.53129751801794,2214.820951927316,10.01578756109244,25703.42540355115,1770.0417112188225,418.446544655088,4.230030654639079,2
329.78754865498047,48.12684398919968,0.7577854957906599,9.096738951300727,0.07531243949072455,48.1781938852888,1.2214757985011293,3.42277296396194e-06,0.3672721309956711,0.4062116209452534,1897.277208788239,4.948664418119317,6005.008846752088,0.5569497437746462,1369.2285019797491,30.0,30.0,30.0,30.0,30.0,15.201102745564919,13978.915832141523,80.59729646238463,7965.169246439525,1503.9390125397338,165.32726954033217,9.096738951300727,2
1157.4543208424293,359.2737802370176,0.3457641842902304,12.886326201477049,0.025812824822202,21.080936302352242,1.2214757985011293,1.752735252945338e-05,0.1641921615912542,0.726035132441672,1978.1595053033213,4.581283189728663,759.2849626687844,0.26488016649805246,493.2550153879669,30.0,30.0,30.0,30.0,30.0,3.4320300955934724,979.8799033458898,12.911611616138403,264.69579058073316,161.80288449524815,12.556168605812733,12.886326201477049,2
210.19965608456252,22.091278300250302,15.910223749069466,1.9509007511841654,0.022229736177638966,69.84733160269684,1.2214757985011293,1.818188243475878e-06,0.03308702395811994,0.3712719347279284,3137.23020851545,3.9811888853785247,139.24568778738316,0.06352770615195713,763.2385730130735,30.0,30.0,30.0,30.0,30.0,-33.49555518369541,10241.353242130732,40.72911992140405,73801.8621630278,2061.354457341675,1056.6167736059695,1.9509007511841654,2
2930.3037270633195,264.5571725495685,21.5612586451921,6.888621177837399,0.0593334146326544,50.266042879647635,1.2214757985011293,5.336503799050856e-06,0.32407128130410595,0.3725089128373197,2173.826253345525,2.323246161013112,93721.15291546323,0.8758529403781941,526.7781015021815,30.0,6780.0,30.0,6780.0,6780.0,8.964695274323336,2340.620950399712,12.934626419247984,209689.02866612998,28736.4630450055,4171.584168027509,6.888621177837399,0
145.42943287456654,10.392496666988729,21.801808674968143,0.958392222729669,0.05328226262008438,45.75615310916668,1.2214757985011293,1.5250216001503027e-05,0.27429572475861663,0.8061072111098628,2651.7683609758874,0.10280229102692318,20.84805476538276,0.019476742385832302,1858.1972325292343,30.0,30.0,30.0,30.0,30.0,-35.21356440547033,404.9427718645632,2.4583382922804584,68089.35338015553,1426.175547899368,1488.0917374698327,0.958392222729669,2
1438.5150890794516,415.8327646805897,0.3876010999577438,12.713658259968197,0.07607425895205157,13.310514028208484,1.2214757985011293,1.3842503693676723e-06,0.38269506097604344,0.797792379049542,641.9573224988139,2.428883652683784,1477.6278149499176,0.2650566289400591,1744.8660821705148,30.0,30.0,30.0,30.0,30.0,5.0807176569271135,2945.938587032429,61.47893856251133,61.47263881567047,58.71614879670289,4.618351979900533,12.713658259968197,2
90.95088338987358,7.705293554138917,7.571580452084403,1.3624845683416478,0.029067005556266227,69.69926011297547,1.2214757985011293,8.762001678290082e-06,0.26361216210743943,0.3786527273143727,1123.4866851577867,1.7566192545225314,1700.0692128419444,0.230114732596577,440.43476890311894,30.0,30.0,30.0,30.0,30.0,-32.81414235265522,1432.7632547687485,5.710100686093622,45627.237268858415,891.9234805953038,654.6301523847063,1.3624845683416478,2
